razakadam74,https://t.co/6skqZNnvlr
 ,Dems are no longer talking DACA! “Out of sight out of mind” they say. DACA beneficiaries should not be happy. Nan… https://t.co/TZjolh9nkE
 ,Unemployment claims are at the lowest level since 1973. Much of this has to do with the massive cutting of unnecess… https://t.co/3W7uDjmtZJ
 ,Democrat judges have totally redrawn election lines in the great State of Pennsylvania. @FoxNews. This is very unfa… https://t.co/uErhBXPwuM
 ,Armed Educators (and trusted people who work within a school) love our students and will protect them. Very smart p… https://t.co/wQSlkyUTzh
 ,So true Wayne and Lowest black unemployment in history! https://t.co/gDxxJdZQUm
 ,Thank you to the great men and women of the United States @SecretService for a job well done!
 ,Today @FLOTUS Melania and I were honored to welcome Prime Minister @TurnbullMalcolm and Mrs. Turnbull of Australia… https://t.co/PeVPje9xba
 ,Our nation’s motto is IN GOD WE TRUST. This week our nation lost an incredible leader who devoted his life to help… https://t.co/gQzYg1Xq8r
 ,We salute our great American flag we put our hands on our hearts for the pledge of Allegiance and we all PROUDLY… https://t.co/BoR8a2Kn29
 ,After years of rebuilding OTHER nations we are finally rebuilding OUR nation - and we are restoring our confidence… https://t.co/LXqvjEMR5D
 ,For those of you who are still interested the Democrats have totally forgotten about DACA. Not a lot of interest on this subject from them!
 ,My daughter Ivanka just arrived in South Korea. We cannot have a better or smarter person representing our country.
 ,CPAC Today!
 ,MS-13 gang members are being removed by our Great ICE and Border Patrol Agents by the thousands but these killers… https://t.co/ktMXRRb97k
 ,“School shooting survivor says he quit @CNN Town Hall after refusing scripted question.” @TuckerCarlson. Just like… https://t.co/wDQm1urt9V
 ,Today it was my great honor to host a School Safety Roundtable at the @WhiteHouse with State and local leaders la… https://t.co/BtEV9OqmNJ
 ,On behalf of an entire Nation CONGRATULATIONS to the U.S. Women's Hockey Team on winning the GOLD! #GoTeamUSA… https://t.co/1dpsf8yqdq
 ,Will be meeting with Lawmakers today at 11:30 A.M. to discuss School Safety.  Next week it will be with our Nation’… https://t.co/USyL5x0ujR
 ,What many people don’t understand or don’t want to understand is that Wayne Chris and the folks who work so hard… https://t.co/4I87uxDsqD
 ,I will be strongly pushing Comprehensive Background Checks with an emphasis on Mental Health. Raise age to 21 and e… https://t.co/5zKlGxnVTc
 ,....If a potential “sicko shooter” knows that a school has a large number of very weapons talented teachers (and ot… https://t.co/NTnUcZxrle
 ,....History shows that a school shooting lasts on average 3 minutes. It takes police &amp; first responders approxima… https://t.co/v68k63he25
 ,....immediately fire back if a savage sicko came to a school with bad intentions. Highly trained teachers would als… https://t.co/wyg77QWPfn
 ,I never said “give teachers guns” like was stated on Fake News @CNN &amp; @NBC. What I said was to look at the possibil… https://t.co/Tvi4fzLbCA
 ,I will always remember the time I spent today with courageous students teachers and families. So much love in the… https://t.co/u8ZYPzhp2S
 ,.@FLOTUS Melania and I join millions of people around the world in mourning the passing of Billy Graham. Our prayer… https://t.co/Q8BrGTiHuP
 ,Yesterday it was my great honor to recognize extraordinary Law Enforcement Officers and First Responders and to a… https://t.co/PsfNaJrfEB
 ,Question: If all of the Russian meddling took place during the Obama Administration right up to January 20th why… https://t.co/dquN8v8VwU
 ,The GREAT Billy Graham is dead. There was nobody like him! He will be missed by Christians and all religions. A very special man.
 ,@CNN @MSNBC Whether we are Republican or Democrat we must now focus on strengthening Background Checks!
 ,So true thank you! https://t.co/9TTXlfokYz
 ,Bad ratings @CNN &amp; @MSNBC got scammed when they covered the anti-Trump Russia rally wall-to-wall. They probably kne… https://t.co/1s5PQaBe2g
 ,Main Street is BOOMING thanks to our incredible TAX CUT and Reform law. "This shows small-business owners are more… https://t.co/gkJczuVCt6
 ,....cameras running. Another False Accusation. Why doesn’t @washingtonpost report the story of the women taking mon… https://t.co/OTpK1KLYOL
 ,A woman I don’t know and to the best of my knowledge never met is on the FRONT PAGE of the Fake News Washington… https://t.co/lWlDMu6gxb
 ,I have been much tougher on Russia than Obama just look at the facts. Total Fake News!
 ,Hope Republicans in the Great State of Pennsylvania challenge the new “pushed” Congressional Map all the way to th… https://t.co/bT190oQKpM
 ,Matt Schlapp and CPAC are getting ready for another exciting event. Big difference from those days when President O… https://t.co/KxKVJL0Bc4
 ,Republicans are now leading the Generic Poll perhaps because of the popular Tax Cuts which the Dems want to take a… https://t.co/TQfyR96KP8
 ,....The President Obama quote just before election. That’s because he thought Crooked Hillary was going to win and… https://t.co/59Wli8q1pN
 ,“There is no serious person out there who would suggest somehow that you could even rig America’s elections there’… https://t.co/eJ9M6A2H50
 ,Thank you to @foxandfriends for the great timeline on all of the failures the Obama Administration had against Russ… https://t.co/SI7CxX4a7C
 ,“The Faith of Donald Trump” a book just out by David Brody and Scott Lamb is a very interesting read. Enjoy!
 ,The U.S. economy is looking very good in my opinion even better than anticipated. Companies are pouring back into… https://t.co/Sxweprvk7N
 ,.@MittRomney has announced he is running for the Senate from the wonderful State of Utah. He will make a great Sena… https://t.co/h1RaVb2OVj
 ,Obama was President up to and beyond the 2016 Election. So why didn’t he do something about Russian meddling?
 ,Have a great but very reflective President’s Day!
 ,Just watched a very insecure Oprah Winfrey who at one point I knew very well interview a panel of people on 60 Mi… https://t.co/7iuf59562i
 ,My great friends from NASCAR are having their big race today The Daytona 500. Brian France and the France family a… https://t.co/EWBOQxPW2S
 ,Thank you to KenStarr former Independent Counsel Whitewater for your insight and powerful words on FISA abuse R… https://t.co/XGIgUkn3qK
 ,Great Pollster John McLaughlin now has the GOP up in the Generic Congressional Ballot. Big gain over last 4 weeks.… https://t.co/iIrNmfPgbQ
 ,The Fake News of big ratings loser CNN. https://t.co/rYsv90cnvs
 ,If it was the GOAL of Russia to create discord disruption and chaos within the U.S. then with all of the Committe… https://t.co/fx3CPabzTi
 ,Now that Adam Schiff is starting to blame President Obama for Russian meddling in the election he is probably doin… https://t.co/R2OTHSUYP9
 ,I never said Russia did not meddle in the election I said “it may be Russia or China or another country or group… https://t.co/1dMjQbLlSC
 ,Finally Liddle’ Adam Schiff the leakin’ monster of no control is now blaming the Obama Administration for Russia… https://t.co/9HNsbaWwWj
 ,Never gotten over the fact that Obama was able to send $1.7 Billion Dollars in CASH to Iran and nobody in Congress… https://t.co/5nQ35ANIrg
 ,General McMaster forgot to say that the results of the 2016 election were not impacted or changed by the Russians a… https://t.co/ilaHKwf6Jy
 ,Very sad that the FBI missed all of the many signals sent out by the Florida school shooter. This is not acceptable… https://t.co/yvvTEmad2e
 ,Just like they don’t want to solve the DACA problem why didn’t the Democrats pass gun control legislation when the… https://t.co/c2gS0ByFUw
 ,“I have seen all of the Russian ads and I can say very definitively that swaying the election was *NOT* the main go… https://t.co/y4PVZ6KZqv
JohnKasich,This is very encouraging and further proof of how Ohio is working to stay on the leading edge of technology.https://t.co/yX8kzVhvk8
 ,We need a coordinated response to Russia’s brazen and lawless actions in the U.K. But we also need more than that.… https://t.co/OZEAcdijmA
 ,In regards to Andrew McCabe who devoted his life to protecting America Gentlemen don’t dance on other people’s g… https://t.co/k069fWQLRt
 ,Keep yourself and others safe – don’t drink and drive. https://t.co/yQlbS6iwZi
 ,Don’t think for a moment that these kids aren’t learning and changing the world. Each of us has the same potential.… https://t.co/F4RqAIXbXm
 ,Apprenticeships shouldn’t be overlooked — they’re great ways for both businesses and students to stay ahead of the… https://t.co/SJgnmW8H3a
 ,Great to see this happening! Partnerships like this are crucial in driving innovation and change. https://t.co/QzZvFYqEzd
 ,Pretty incredible to see my Buckeyes back in #MarchMadness. As a proud alum hoping for a long run in the tournamen… https://t.co/W6xPr1hJ3u
 ,No surprise to anyone in Ohio — Cleveland is already world-renowned for its contributions to healthcare being a ne… https://t.co/W3208T33z7
 ,Our places of worship play such an important role in the fight against drug abuse and addiction and I was so excite… https://t.co/VgEKDfW8aC
 ,Think you can defeat my #MarchMadness bracket?Let’s have some fun while supporting the fight against Human Traffi… https://t.co/njIkEo8fJl
 ,Young people must continue to stand up and share their beliefs. Don't let it end today. You can and are makin… https://t.co/n9GhTiNAU6
 ,Tune in to @CNBC at 10:10AM ET - I’ll be on @SquawkStreet to talk trade tariffs and more.
 ,Thanks for having me on! @ScottGamm https://t.co/gr9Ke0ctjA
 ,Hope you can tune in to watch my interview on @OutFrontCNN with @ErinBurnett at 7PM ET. @CNN https://t.co/qpFHglfW4C
 ,Apprenticeships open doors to so many great opportunities. Nathan and others like him are proof that… https://t.co/SsKWISXMGw
 ,I’ll be a guest this morning on @MSNBC at 9:15 ET with @SRuhle - Lots of important issues to discuss. Tune in!
 ,I'll be a guest on @MSNBC's @allinwithchris this evening at 8PM ET. Hope you can tune in! @chrislhayes
 ,Gov. Kasich is LIVE announcing a new advancement in Ohio’s effort to develop an ethane cracker plant in Eastern Ohi… https://t.co/yaAxqOrqQR
 ,Getting ready to announce some big new advances in our effort to develop an ethane cracker plant in Eastern Ohio.… https://t.co/lHdC7tDUrh
 ,Let’s use this #MarchMadness to have some fun and support a great charity at the same time!Chip in $5 to see if y… https://t.co/C500wnYppz
 ,I was honored to present Chris Hole with the Courage Award for her bravery on that terrible night in Las Vegas. https://t.co/K9hZjQEnsA
 ,By empowering prescribers and pharmacists to prevent opiate abuse  we've been able to nearly eliminate doctor shop… https://t.co/mHwmwNGRXh
 ,I was proud to present Nina Schubert with a Courage Award this week — she’s an inspiring example of leadership at a… https://t.co/JuRrZVcj8Y
 ,10-year old Mikah Frye set a great example of compassion and respect for the needs of others — I was proud to prese… https://t.co/Zb7GQgHXEQ
 ,If you’re looking for your next big opportunity there’s no better resource than @OhioMeansJobs. Check it out:… https://t.co/GM6x8V7cIR
 ,It’s like skipping a party you’re expected to host. Very disappointing that other countries are leading efforts to… https://t.co/gIcOtXEpFj
 ,Gov. Kasich’s statement on the Administration’s decision to impose tariffs. https://t.co/rG7UQUezc6
 ,A WW1 Marine. An activist. A journalist. Take a few minutes and check out @OhioHistory to learn about some of Ohi… https://t.co/uFa67RF531
 ,“When we slow down and we listen we can be better.” #OHSotS https://t.co/SpCYbSGnzD
 ,This is the state of our State. #OHSotS https://t.co/7dHkkmJO74
 ,Millennials have shown a special willingness to take on the impossible. It’s that kind of attitude that will contin… https://t.co/xzztxx7VFw
 ,In case you missed it this video kicked off the State of the State last night. It's Ohio Now. https://t.co/GwREfb65IW
 ,I closed my State of the State Address with a story not many have heard before. #OHSotS https://t.co/F4DX4DCVC1
 ,#OHSotS https://t.co/kfoThmHdWo
 ,#OHSotS https://t.co/y0ggSn2nH2
 ,#OHSotS https://t.co/URILI71NQG
 ,#OHSotS https://t.co/1gGBfwTEKz
 ,#OHSotS https://t.co/RcipK5CaqB
 ,#OHSotSWATCH LIVE: https://t.co/xYinKPSiFd or https://t.co/1B77dOnrST https://t.co/fjeqJWQB2p
 ,Chris Hole a nurse from Miamisburg was among thousands who came under attack in the terrible shooting in Las Vegas… https://t.co/4iE8LRYlUE
 ,10-year old Mikah Frye was homeless for much of his life — this past Christmas he took $300 given to him for an xb… https://t.co/J2Rj2Vwh9r
 ,The first Courage Award winner of the evening is Nina Schubert a young lady whose personal struggles led her to he… https://t.co/lxTOgnohDK
 ,#OHSotSWATCH LIVE: https://t.co/xYinKPSiFd or https://t.co/1B77dOnrST https://t.co/dl4ZQa7IJR
 ,Since January 2011 Ohioans have created 485300 new private sector jobs. #OHSotS https://t.co/ipTOYGWbMI
 ,#OHSotSWATCH LIVE: https://t.co/1B77dOnrST https://t.co/iewgbBq1pC
 ,#OHSotSWATCH LIVE: https://t.co/xYinKPSiFd https://t.co/BuFExo61IN
 ,#OHSotSWATCH LIVE: https://t.co/1B77dOnrST https://t.co/i0J1RPwguV
 ,The Westerville Police serving as the Honor Guard at tonight’s #OHSotS#WestervilleStrong https://t.co/R7ThusMK1X
 ,Gov. Kasich is LIVE now at the State of the State. Watch here: https://t.co/1B77dOnrST or https://t.co/xYinKPSiFd#OHSotS
 ,30 minutes to go. Tune in at 7pm for my final State of the State. https://t.co/1B77dOnrST or… https://t.co/1sZDhN4h3U
 ,In 2012 we started the Governor’s Courage Awards to honor Ohioans who inspire us. Tonight I’ll have the honor of… https://t.co/mejgXO43Eb
 ,My cabinet directors are out and about again today for State of the State events check out #OHSotS to see what they’re up to!
 ,Taking the State of the State out into communities across Ohio has been a privilege and seeing banners hanging alo… https://t.co/SioNfDGbBb
 ,Tonight’s State of the State will be LIVE at 7pm on https://t.co/1B77dOnrST and https://t.co/xYinKPSiFd https://t.co/p9XrKse22i
 ,In my last State of the State address tomorrow night I’ll talk about the values that have guided our Administratio… https://t.co/jZiNYzPNU1
 ,It’s been five months of inaction to resolve DACA. This should have taken five minutes. Pass it. Send it to the P… https://t.co/if5xbPTqmd
 ,An important part of our State of the State tradition is taking our Cabinet directors into the community to listen… https://t.co/uWky5a7RhY
 ,Make sure you watch tomorrow’s State of the State LIVE at 7pm on https://t.co/1B77dOnrST#OHSotS https://t.co/NK5mULLAJK
 ,Great to see my friend @Schwarzenegger in Ohio to celebrate the bipartisan compromise on redistricting.This is an… https://t.co/79yqex4VDa
 ,Looking forward to my State of the State speech on Tuesday in my hometown of Westerville. https://t.co/sYFS0pdpJN
 ,I’ll be on the air with @JakeTapper on @CNNSotu this morning – don’t miss it! https://t.co/ruBVZa1sY2
 ,I’ll be on @CNNSotu with @JakeTapper tomorrow at 9am and 12pm ET. Make sure you tune in! https://t.co/1Eu7rttz7r
 ,"...the group’s work should get more than cursory attention from lawmakers. The ideas are worth vetting considerin… https://t.co/5VGpdOJ5BF
 ,As communities we need to push to pass common-sense gun laws. That's what we're doing in Ohio. @ViceNews https://t.co/SRktYLNxN3
 ,Happy to be with my amazing wife @KarenKasich tonight to support @ASASOhio and all the great work they do to ensure… https://t.co/Ekvq8doJ6J
 ,Looking forward to it! https://t.co/XmLO0h2NAZ
 ,A great day with Gov. @Schwarzenegger and our legislative leaders celebrating congressional redistricting reform he… https://t.co/mlBbKXcXTL
 ,My statement on the President's decision to impose tariffs. https://t.co/i4pfY3lRmd
 ,Billy Graham served as a model for preachers all over the world.Today we lower the flags in his honor. https://t.co/iuhcwgmbUx
 ,When opposite sides come together to compromise on ideas to make Ohioans safer from gun violence people ought to l… https://t.co/HJJ1fxnJPX
 ,Today I announced alongside some great minds from all sides of the gun issue proposals to help make Ohioans safer… https://t.co/KFBmHS0Aue
 ,We pulled together some great minds from all sides of the gun issue to develop serious policy proposals that can ma… https://t.co/PFZDFX5wsV
 ,LIVE NOW: Gov. Kasich announcing proposals to help protect Ohioans from gun violence.https://t.co/1B77dOnrST https://t.co/lKTiuSxPI7
 ,Cabinet meeting this morning. A lot of new ideas being bounced around updates from our agency directors on what th… https://t.co/vW8DrSewwm
 ,The group reached unanimous agreement on important proposals that I’ll be laying out at a news conference this afte… https://t.co/ggoNQ2gTJy
 ,In November I called for bringing together interested people on all sides of the gun issue to sit down and find co… https://t.co/22tCxhoLJj
 ,Happy birthday Ohio! 215 years of explorers innovators and heroes. https://t.co/BxfeWZWSzj
 ,Proud of the community service being done by the young men at the Cuyahoga Hills Juvenile Correctional Facility tod… https://t.co/RIPkbaI9Rn
 ,Honda has been a major player in Ohio’s economy — they’ve been a driver of cutting-edge technology and innovation… https://t.co/KE2GSCpiJ3
 ,When our nation’s debt goes up job opportunities go down. Responsible budgeting is the key to a healthy economy. https://t.co/Mxo0hDP5gp
 ,Making real progress in our effort to strengthen community and police relations as more local police departments ar… https://t.co/RJBzpS9kXN
 ,Enjoyed seeing these student members of the Ohio Pharmacist Association during their visit to the Statehouse today.… https://t.co/4UZpL2sRCV
 ,For decades this American icon has been manufactured in Ohio – now Airstream is investing $40 million in a new fac… https://t.co/JP8P6pziNh
 ,I’ll be on @AC360 tonight don’t miss it! https://t.co/sr5UKGNgvO
 ,Good news but this fight is far from over. Congress has to become serious and exhibit leadership to allow these yo… https://t.co/NK6gOSBjuF
 ,"This wasn't for us this was for the 17 victims. We played for them" Zenobi said. "So passionate so emotional -… https://t.co/bmgqC18xJG
 ,Activism is activism. And we’re in a new age of it. It’s driven by the young and that’s nothing new in America’s… https://t.co/zhrBKDpXA7
 ,Jordan Bohannon didn’t know Chris Street but he knows what it means to show class and respect.https://t.co/9rYMeeVLZy
 ,Who will I support in 2018? It'll be those candidates who believe in low taxes individual responsibility balanced… https://t.co/AjVbJJR0in
 ,No one has all the answers to stop gun violence but there are common sense reforms we can put in place to make Ame… https://t.co/QC1LOwLSFR
 ,Just wrapped our briefing on the state and local response to the flooding in Southern Ohio. A lot of good people co… https://t.co/oOoqzOAdCw
 ,Getting the latest updates from our emergency management team on the flooding situation in southern Ohio. Proud of… https://t.co/tonw2m0QQw
 ,I’ll be on @ThisWeekABC with @GovofCO Hickenlooper around 930 ET this morning. Be sure to tune in!
 ,The world needs to hold Assad accountable for the vicious attacks on the Syrian people.
 ,Strong work! Awesome to have a good team ready to respond when called. https://t.co/SkBbEvDWlG
 ,Continued rain is causing flooding especially in S. Ohio. State agencies are supporting local efforts to keep peop… https://t.co/1dkj8kQqY8
 ,It was great to see my dear friend Tim Penny yesterday. Years ago in DC we worked across the aisle to fight for a b… https://t.co/2VwpcOFhDB
 ,Good conversation today with @ChuckTodd about the way forward in the effort to decrease gun violence. Tune in to… https://t.co/Op8ueZERCu
 ,A big honor to receive the @ConcordC’s Economic Patriot Award for fiscal responsibility today here in Washington. J… https://t.co/UuxLPtAnIg
 ,Just wrapped our presentation at the National Press Club on our ideas for a stronger health care system. https://t.co/xak7itKEeZ
 ,Getting ready to join @GovofCO Hickenlooper and @AkGovBillWalker to unveil our new Bipartisan Blueprint for Improvi… https://t.co/OGEpZvosSY
 ,The debate over health care in America is far from over. Read my guest column with @GovofCO Hickenlooper on the i… https://t.co/Eup6ovWiBb
 ,Enjoyed sitting down with some former members and talking about the state of affairs here in DC. It’s time for thos… https://t.co/BJ8kX52zx5
 ,What an incredible win. Congrats to @TeamUSA! #USAvsCAN https://t.co/ReBdjNupT6
 ,Forget about elections. It’s time for leaders in Washington to put their ego aside &amp; begin taking steps necessary t… https://t.co/XCWAuiiZl6
 ,Great to say hi to the Young Souls Jazz Band from the Boys &amp; Girls Clubs of Cleveland--great orgs doing great work. https://t.co/o6iQgV5Pp5
 ,If you’re looking to join us for my final State of the State in Westerville on March 6th your last chance to sign… https://t.co/kJRc8nZpkB
 ,Billy Graham was about love forgiveness and hope. Every preacher should learn from him.
 ,Today my wife and I celebrate and reflect on the life of Billy Graham. I saw him preach and I was truly inspired. H… https://t.co/qtKmBX5Df2
 ,Cleveland is a powerhouse of healthcare innovation — it’s no surprise that businesses see the potential there. https://t.co/oyu4PxtkJF
 ,Let's give credit where credit is due. This is absolutely the right thing to do and hopefully more will follow. https://t.co/vB6xA1lTYP
 ,Ohio’s own John Glenn made history as the first American to orbit the Earth on this day 56 years ago – setting the… https://t.co/bU2Gk44BrT
 ,Proud to see Ohio leading the way on this important issue. https://t.co/ccofHCopdO
 ,This is great to see! Ohio has been working to create a model to strengthen community-police relations and we’re pl… https://t.co/hIN7US7ydl
 ,Encouraged to see the president taking this under consideration. Now let's keep the conversation going and get this… https://t.co/NDWlfXm6rd
 ,Our new one-stop shop for smart mobility @DriveOhio is making it easier for industry leaders to advance autonomous… https://t.co/Y0Sw3gZBqR
 ,If all the sudden you couldn't buy an AR-15 what would you lose? Would you feel your second amendment rights would… https://t.co/HM0hJscaxg
 ,Mr. President America needs real leadership. We need to take common sense steps NOW to protect our kids. From one… https://t.co/SGvnhlGlud
 ,I’ll be on @CNNSotu with @DanaBashCNN this morning —  don’t miss it! https://t.co/eKS2SNaTPj
 ,Each person has to blaze their own path. And apprenticeships are a great way to learn while you earn. Learn more ab… https://t.co/A29cvuB1Ve
 ,Looking forward to being on @CNNSotu Sunday at 9AM and Noon ET. Hope you can tune in! @CNN https://t.co/vy6sXsnn3Z
 ,As I’ve said before Russia is not our friend. They attacked our election and must be held accountable.https://t.co/b3MrSJIt5P
 ,Miracle and Sanderson are heroes.   Human trafficking is an overlooked crime but it’s happening right now. If so… https://t.co/bv15cEtk37
 ,I support these bipartisan efforts to address a fair solution on DACA and border security. They're on the right tra… https://t.co/m4ByrDxbTE
 ,Ohio is working to prepare for our future place in the global knowledge economy. I shared our perspective from here… https://t.co/X3qyGg3aji
 ,The loss of life in Florida is such a tragedy. When a child is taken too soon each family loses a lifetime of smil… https://t.co/6207iPp9LD
 ,Fixing DACA should take congress 6 minutes not 6 months. It's time for them to step up get it done and send it t… https://t.co/3VXe2dVK4C
 ,Empower yourself to better understand alternatives to pain medication by using the tools and resources from TakeCha… https://t.co/mWVhVJOMJO
 ,In respect of the ultimate sacrifice made by Officers Morelli and Joering I am ordering the lowering of flags unti… https://t.co/L5Y2ZmH4E0
 ,I appreciate the call earlier today from President Trump who offered his support for Westerville and the families o… https://t.co/1pKK52gq7Q
 ,Ohio keeps finding ways to lead the way --- this time with Cleveland's own @RedmondGerard winning the first gold me… https://t.co/dizQ6XOImj
 ,I've spoken with Westerville's city leaders and Chief Morbitzer and pledged whatever support they need from the hig… https://t.co/Ob433aKzmT
 ,The finest among us are those who risk it all everyday for our safety and Officers Anthony Morelli and Eric Joerin… https://t.co/twbZSsMSGZ
 ,We will learn more soon about this tragic incident but please join me in lifting up these officers' families in prayer. (2/2)
 ,I am very saddened to learn of the deaths of two of my hometown police officers today.  I have spoken with Westervi… https://t.co/DFPNlOSnc5
 ,For Ohio the growth in biotech doesn’t come as a surprise — we have great universities and hospitals talented wor… https://t.co/zP6KbQN1Lk
 ,Ohio’s popular College Credit Plus program helped more than 50000 high school students get a head start on their c… https://t.co/s7kY1pQEL3
 ,How much debt are we going to put on our children? It seems every time we turn around we are making it bigger and b… https://t.co/2mMo1Tyr0x
 ,Wishing the best of luck to all our #TeamUSA athletes competing in the #2018Olympics! Let’s bring home the gold!
 ,Ohio is always working to help veterans find the opportunities they deserve. https://t.co/E16udcFxJE
 ,If you missed this last night you missed a great one. Congrats to the team and Coach @ChrisHoltmann. He’s doing an… https://t.co/NdmzoDbalt
 ,There is no doubt that mentorship works! Through our Community Connectors grants we’ve been able to start new ment… https://t.co/z9JoNtdqKl
 ,What an incredible person and life! Happiest of birthdays to Roberta! https://t.co/ECYzgLzEFo
 ,The economy is changing rapidly and Ohio is working to get ready. https://t.co/66PBdHQccM
 ,Hear this good man @NFoles_9 talk about perseverance and character and know he is grounded by his Faith https://t.co/U9fsRObZxA
