razakadam74,https://t.co/6skqZNnvlr
 ,Thanks for the kind words Arnold! The credit goes to the Republican and Democrat legislators who worked so hard to… https://t.co/b9o76pXhp6
 ,Ohio's legislative leaders also deserve particular recognition for their skillful work in getting a bipartisan comp… https://t.co/Xw6NnW8BbP
 ,It’s official – bipartisan congressional redistricting reform has been overwhelmingly passed in Ohio. https://t.co/PgIO77jidz
 ,The future of transportation is coming fast and Ohio is going to be ready for it. By establishing ourselves as a l… https://t.co/WZGKge854v
 ,Throughout my administration I’ve enjoyed being able to take the State of the State on the road to communities acr… https://t.co/CWmhcKrfsn
 ,At last year’s State of the State I called for $20 million to help drive more innovation to the battle against dru… https://t.co/YHUv900lD0
 ,“Life is to be lived to its fullest so that death is just another chapter. Memories of our lives our works and our… https://t.co/I4lbzExiW7
 ,The independent investigation into Russia’s meddling in our election must continue unimpeded by outside forces from… https://t.co/XvfcKaDMek
 ,America's partisan divide is growing each day. It's unconscionable that our national security and justice system ar… https://t.co/jXlbMBR2Wk
 ,The independent investigation into Russia’s meddling in our election must continue unimpeded by outside forces from… https://t.co/HMZ8tPWzji
 ,The manner in which this was done was wrong and does a disservice to our country. My full statement on the release… https://t.co/WDhvbmASNo
 ,Recently @60Minutes &amp; @WashingtonPost shined a light on Rx drug wholesalers that were pumping excessive amounts of… https://t.co/ePlbdF8gcd
 ,Gov. Kasich will be LIVE today at 11:30am to make a big announcement to advance Ohio’s fight against prescription d… https://t.co/4siLMVvNqe
 ,It was cool to host students from Stebbins High School in my Cabinet room today — we had a great conversation about… https://t.co/OBWxccJ9li
 ,A good example of Ohio’s community colleges stepping up to make sure more STEM students succeed and more employers… https://t.co/rEaJ4Sakzg
 ,Had a wonderful visit today with an American icon in journalism the one and only @DanRather. We stand together in… https://t.co/le0m4Zedbs
 ,Free trade has created hundreds of thousands of jobs for Americans and it strengthens our position in the world. https://t.co/FveCjkeVCk
 ,Like me how many of our family members immigrated to America looking for the land of opportunity? They made our co… https://t.co/0zU5gC2ckp
 ,Fighting drug abuse and addiction requires thinking outside the box and that’s exactly what these winners of our t… https://t.co/uyMkQrfZ2f
 ,Looking forward to speaking with @NicolleDWallace on @MSNBC at 4:30 ET today. Hope you can tune in!
 ,This is what we’ve been trying so hard to develop since I came into office – staking Ohio’s place once again as a l… https://t.co/j4Bf23OpFh
 ,Great to join Henry Kissinger at the event supporting the @McCainInstitute. Great discussion and event supporting t… https://t.co/mKnuxUzk52
 ,Tune in to @LateNightSeth tonight! https://t.co/CSeEuK329k
 ,Great meeting @darrencriss on @latenightseth. Hope you have continued success even if you did go to that school up north!
 ,Last year we started the Ohio Opioid Technology Challenge to encourage people to submit their innovative ideas for… https://t.co/XdZHQrtFLu
 ,Happy to be a part of the fight against gerrymandering -- this time w/ @Schwarzenegger &amp; MD Gov. @LarryHogan. Hon… https://t.co/UjsCSE3Mer
 ,Great to see Columbus recognized as a top city for recent college grads. You want opportunity &amp; affordability in a… https://t.co/cC7eVxwRRN
 ,The Midwest is shedding our rust belt image. We’ve become more than our stereotype. And entrepreneurs are finding O… https://t.co/yxXwAaFbO4
 ,Hope you can tune in to @LateNightSeth Monday night! https://t.co/ezjz48M9Dk
 ,This is thuggery. Plain and simple. Putin should know the world is watching. Release Navalny and allow for free a… https://t.co/wcZtWITWe2
 ,How do we honor the 6 million lives lost during the Holocaust? By working every day to bring good into the world --… https://t.co/8IJqkckTRt
 ,Great idea! Our @OSHP is working hard to increase awareness about Human Trafficking. Learn more about our efforts t… https://t.co/Ht27M45b53
 ,Congratulations to Columbus’ Grace Tian for being named among the 40 finalists in the nation’s oldest science and m… https://t.co/Mxgyb2Z1PY
 ,A good example of the incredible new tech we’re supporting to help curb opiate abuse.https://t.co/lGeQfgVstu
 ,Today I announced my decision to appoint 7th District Court of Appeals Judge Mary DeGenaro to the Ohio Supreme Cour… https://t.co/KJYGQLhRmn
BarackObama,41: I like the competition. And the loyalty to the home team. - 44 https://t.co/XG3ChMtW0M
 ,Congrats to @LoyolaChicago and Sister Jean for a last-second upset - I had faith in my pick!
 ,Just because I have more time to watch games doesn’t mean my picks will be better but here are my brackets this ye… https://t.co/gWpZwlceV3
 ,Have fun out there among the stars. https://t.co/S285MTwGtp
 ,Four years ago @MichelleObama and I had the privilege to host Lt. Cmdr. Dan Cnossen and his fellow Paralympians an… https://t.co/kneWyU2Tu1
 ,I got my start holding community meetings in Chicago so it was fun to be home for one tonight. Michelle and I want… https://t.co/1ammpZayJx
 ,Young people have helped lead all our great movements. How inspiring to see it again in so many smart fearless stu… https://t.co/wXO3wBtJ8V
 ,Billy Graham was a humble servant who prayed for so many - and who with wisdom and grace gave hope and guidance t… https://t.co/V8WtgIRPEB
 ,We are grieving with Parkland. But we are not powerless. Caring for our kids is our first job. And until we can hon… https://t.co/LWGSkzRapH
 ,Happy Valentine’s Day @MichelleObama. You make every day and every place better. https://t.co/aWvyytR7Mm
 ,Dr. King was 26 when the Montgomery bus boycott began. He started small rallying others who believed their efforts… https://t.co/N0zwBg7gTi
 ,All across America people chose to get involved get engaged and stand up. Each of us can make a difference and al… https://t.co/zxpKVnNeHZ
 ,Ten-year-old Jahkil Jackson is on a mission to help homeless people in Chicago. He created kits full of socks toil… https://t.co/7mNk6dmnyC
 ,Chris Long gave his paychecks from the first six games of the NFL season to fund scholarships in Charlottesville V… https://t.co/KxUk5Wle6h
 ,Kat Creech a wedding planner in Houston turned a postponed wedding into a volunteer opportunity for Hurricane Har… https://t.co/MCXiSuAVJN
 ,As we count down to the new year we get to reflect and prepare for what’s ahead. For all the bad news that seemed… https://t.co/WaUHkVww2g
 ,On behalf of the Obama family Merry Christmas! We wish you joy and peace this holiday season. https://t.co/CNFUZrhrBj
 ,There's no better time than the holiday season to reach out and give back to our communities. Great to hear from yo… https://t.co/gp5dCy9oN2
 ,Happy Hanukkah everybody from the Obama family to yours. Chag Sameach!
 ,Just got off a call to thank folks who are working hard to help more Americans across the country sign up for healt… https://t.co/A9QvCySWJ8
 ,Michelle and I are delighted to congratulate Prince Harry and Meghan Markle on their engagement. We wish you a life… https://t.co/KC9nmjZPuX
 ,From the Obama family to yours we wish you a Happy Thanksgiving full of joy and gratitude. https://t.co/xAvSQwjQkz
 ,ME:  Joe about halfway through the speech I’m gonna wish you a happy birth--BIDEN:  IT’S MY BIRTHDAY!ME:  Joe.… https://t.co/5qLUsDoaMi
 ,This is what happens when the people vote. Congrats @RalphNortham and @PhilMurphyNJ . And congratulations to all th… https://t.co/ZvUKZIDGAj
 ,Every election matters - those who show up determine our future. Go vote tomorrow! https://t.co/j1wh8hLamw
 ,May God also grant all of us the wisdom to ask what concrete steps we can take to reduce the violence and weaponry in our midst.
 ,We grieve with all the families in Sutherland Springs harmed by this act of hatred and we’ll stand with the survivors as they recover...
 ,Starting today you can sign up for 2018 health coverage. Head on over to https://t.co/ob1Ynoesod and find a plan t… https://t.co/6eN1Y5TQGV
 ,Michelle and I are thinking of the victims of today's attack in NYC and everyone who keeps us safe. New Yorkers are as tough as they come.
 ,Hello #ObamaSummit! Thrilled to host civic leaders in Chicago from all over the world. Follow along at @ObamaFoundation.
 ,I’ll let you and @ladygaga handle the singing and we’ll handle the donations. There’s still time to give:… https://t.co/0NnaR3bozh
 ,Tonight the ex-Presidents are getting together in Texas to support all our fellow Americans rebuilding from this ye… https://t.co/nFSou6JC6n
 ,I'm grateful to @SenJohnMcCain for his lifetime of service to our country. Congratulations John on receiving this year's Liberty Medal.
 ,Michelle &amp; I are praying for the victims in Las Vegas. Our thoughts are with their families &amp; everyone enduring another senseless tragedy.
 ,Proud to cheer on Team USA at the Invictus Games today with my friend Joe. You represent the best of our country. https://t.co/WBzcltmgqj
 ,We're expanding our efforts to help Puerto Rico &amp; the USVI where our fellow Americans need us right now. Join us a… https://t.co/gkrp1RwXR4
 ,Prosecutor soldier family man citizen. Beau made us want to be better. What a legacy to leave. What a testament… https://t.co/XDtkLu32wd
 ,Thinking about our neighbors in Mexico and all our Mexican-American friends tonight. Cuidense mucho y un fuerte abrazo para todos.
 ,Coding is important – and fun. @CSforAll thanks for your work to make sure every kid can compete in a high-tech g… https://t.co/xwlnvxsjKb
 ,Michelle and I want the @ObamaFoundation to inspire and empower people to change the world. Here's how we're gettin… https://t.co/xY0UhBSvqp
 ,We remember everyone we lost on 9/11 and honor all who defend our country and our ideals. No act of terror will ever change who we are.
 ,Proud of these McKinley Tech students—inspiring young minds that make me hopeful about our future. https://t.co/nqYC1mjjTB
 ,Americans always answer the call. https://t.co/SV1jixOExu https://t.co/ktEvL6s89d
 ,To target hopeful young strivers who grew up here is wrong because they’ve done nothing wrong. My statement: https://t.co/TCxZdld7L4
 ,Thank you to all the first responders and people helping each other out. That's what we do as Americans. Here's one… https://t.co/I3RHWyZe31
 ,Michelle and I are thinking of the victims and their families in Barcelona. Americans will always stand with our Spanish friends. Un abrazo.
 ,"...For love comes more naturally to the human heart than its opposite." - Nelson Mandela
 ,"People must learn to hate and if they can learn to hate they can be taught to love..."
 ,"No one is born hating another person because of the color of his skin or his background or his religion..." https://t.co/InZ58zkoAm
 ,John McCain is an American hero &amp; one of the bravest fighters I've ever known. Cancer doesn't know what it's up against. Give it hell John.
 ,Health care has always been about something bigger than politics: it's about the character of our country. https://t.co/UqLO14Hef7
 ,Of all that I've done in my life I'm most proud to be Sasha and Malia's dad. To all those lucky enough to be a dad… https://t.co/XSqMhcSuvR
 ,On this National Gun Violence Awareness Day let your voice be heard and show your commitment to reducing gun viole… https://t.co/S7dth6Ywb0
 ,Forever grateful for the service and sacrifice of all who fought to protect our freedoms and defend this country we… https://t.co/BwRS0onlOL
 ,Good to see my friend Prince Harry in London to discuss the work of our foundations &amp; offer condolences to victims… https://t.co/f1U8It8AmE
 ,Through faith love and resolve the character of the people of Manchester has shown itself.  Our thoughts &amp; prayer… https://t.co/xyMer891Zo
 ,Our hearts go out to those killed and wounded in Manchester. Americans will always stand shoulder to shoulder with the people of the UK.
 ,Excited to hear from Sierra Imani Filiz and Benedikt who are making a difference at home and abroad. See you in… https://t.co/bF1kB1GvxC
 ,Happy Mother's Day to my love and partner on this journey @MichelleObama and to all the wonderful hardworking mothers out there.
 ,We're rolling up our sleeves again back where it all started. Join us at https://t.co/GYkEOK8EuT. https://t.co/UlyvNrQvZR
 ,Well said Jimmy. That's exactly why we fought so hard for the ACA and why we need to protect it for kids like Bil… https://t.co/jB3LXT94Ok
 ,My heart goes out to the victims and their families in London. No act of terror can shake the strength and resilience of our British ally.
 ,Chuck Berry rolled over everyone who came before him – and turned up everyone who came after.  We'll miss you Chuck.  Be good.
 ,On International Women’s Day @MichelleObama and I are inspired by all of you who embrace your power to drive chang… https://t.co/Er9mIQlmgr
 ,Humbled to be recognized by a family with a legacy of service. Who's your #ProfileInCourage? Tell me about them:… https://t.co/25Ohhab8Xn
 ,We asked. You answered. https://t.co/mAJvko6VqR
 ,Happy Valentine’s Day @michelleobama! Almost 28 years with you but it always feels new. https://t.co/O0UhJWoqGN
 ,I read letters like these every single day. It was one of the best parts of the job – hearing from you. https://t.co/so1luBcszV
 ,In the meantime I want to hear what you're thinking about the road ahead. So share your ideas with me here: https://t.co/GYkEOK8EuT
 ,Hi everybody! Back to the original handle. Is this thing still on? Michelle and I are off on a quick vacation then we’ll get back to work.
 ,Tonight President Obama reflects on eight years of progress. Watch the #FarewellAddress at 9 pm ET: https://t.co/ZnwTsg155B #ObamaFarewell
 ,In the weekly address President Obama discusses what #Obamacare has done to improve health care. https://t.co/VdQlyrSZhx
 ,Let's keep working to keep our economy on a better stronger course. https://t.co/bV2BVjyj7a
 ,The landmark #ParisAgreement enters into force today—we must keep up the momentum to #ActOnClimate. https://t.co/Cyw5Udaoro
 ,The economy added 161000 jobs in October and wages are up 2.8 percent over the past year. https://t.co/pJxjgLnjCt #JobsReport
 ,There are a lot of plans out there. Check your options and lock in the one that's best for you: https://t.co/buFY9ozDz4 #GetCovered
 ,The positive impact of #Obamacare is undeniable but there's one big factor holding many states back: https://t.co/7XebIdRX34
 ,Tens of millions of Americans have benefited from #Obamacare. Make sure you're one of them. #GetCovered https://t.co/e1KoXcPtpU
 ,Thanks to #Obamacare quality health care is available to everyone. The marketplace is now open—make sure you and y… https://t.co/89gl6pzMGD
 ,Community organizing never goes out of style. Shop now: https://t.co/LXEbQdKLLT https://t.co/E56ofoU36i
 ,With #Obamacare people can focus on treatment for pre-existing conditions without the fear of coverage being cappe… https://t.co/jvdFY87XBu
 ,The Obamacare marketplace is now open. If you're uninsured now is the time to shop for a plan and #GetCovered.… https://t.co/Spjlga4eTT
 ,Lions and Tiggers and bears! Oh my! #HappyHalloween https://t.co/iU4fjBhi0Y
 ,Usted y su familia merecen la tranquilidad de saber que están cubiertos. El mercado de seguros abre mañana. https://t.co/9iRCkLRGZD
 ,Speak up in support of quality affordable health care for all. https://t.co/rGsSguMxvj
 ,There's nothing to be scared of when searching for health insurance. Three in four people can #GetCovered for less… https://t.co/BUmnRO9B3E
 ,Open enrollment begins tomorrow—make sure you and your loved ones #GetCovered. https://t.co/2aak7Bt0s3
 ,Senate leaders' obstruction of our Supreme Court nomination process is unacceptable. Say so: https://t.co/t3pYMO8Fp0 #DoYourJob
 ,Senate leaders should put the common good above politics—the integrity of our nation's highest court depends on it.… https://t.co/iRVCEl1pzf
 ,Don't ghost on your health and well-being—your chance to #GetCovered is coming up. Open enrollment starts November… https://t.co/qwNLazuPiz
 ,Climate change is happening now. Denial is dangerous. https://t.co/0Nlf8Fst4u
 ,If you're willing to work hard and play by the rules you should be able to get ahead. https://t.co/394hdJttgO
 ,President Obama lays out just a few of the ways in which #Obamacare has helped millions of Americans. https://t.co/qeqHRLz0ID
 ,New report: Renewable energy installations are beating fossil fuel installations for the first time. https://t.co/MMhIdu4jzt #ActOnClimate
 ,Obamacare has helped millions of Americans gain the peace of mind that comes with coverage. Show your support: https://t.co/NfrG7DHL5C
 ,This is what happens when we focus on building an economy that works for everyone not just those at the top. https://t.co/op3Z74rPeI
 ,No one's too wrapped up in pre-existing conditions to #GetCovered. Thanks to Obamacare you can find a plan that m… https://t.co/C7H9TZdxeU
 ,Help protect the progress we've made in helping millions of Americans get covered. Add your name now: https://t.co/HQSZKPl1eH
 ,DYK: Most people can find a plan for less than $75 per month. Open enrollment starts on November 1. #GetCovered https://t.co/9RGG5Pr4mb
 ,Women the sick survivors—they all deserve fair treatment in our health care system. #Obamacare https://t.co/G948HN7pzV
 ,Don't get tripped up by misinformation. Join the @OFA Truth Team today: https://t.co/wJZj1QCxXm https://t.co/vwwDgFHq6A
 ,Be proud of the progress we've made together—wear the mark of this movement. https://t.co/fYf2O9WAwG https://t.co/1Z4yJmYh4E
 ,Strong policies that help working families get ahead are good for our economy. https://t.co/QRRhibjZCl
 ,The four-week average of jobless claims fell to the lowest level since 1973—a sign of a healthy labor market. https://t.co/Lv7DnRM2DY
 ,Since 2010 America's uninsured rate has been cut in half. Help build on that progress—join Team #Obamacare today: https://t.co/MhIICuE17A
 ,Health care is a right not a privilege—and #Obamacare works to protect that right for millions of Americans. https://t.co/B7fO8rhggW
 ,Don't get tripped up by misinformation. Join the @OFA Truth Team today: https://t.co/09BpA6F9Ne https://t.co/Nxgp87o4iq
 ,Being able to stay on a parent's plan enables millions of young adults to make choices about their future with the… https://t.co/1lSzxCHZVf
 ,"Because of Obamacare another 20 million Americans now know the financial security of health insurance." https://t.co/eNd6J8bMxm
 ,Stand up for the law that's helped 20 million more Americans gain health coverage. Join Team @Obamacare today: https://t.co/XiNXrgnPoF
 ,There's still more work to do but let's celebrate how far we've come. https://t.co/kUVWn68kJw
 ,LIVE: President Obama is in Miami talking about the progress made possible by the Affordable Care Act. https://t.co/7FsQXut07O
 ,Tune in at 1:55 p.m. ET to watch President Obama speak about the successes of the Affordable Care Act. https://t.co/7FsQXut07O
 ,There's a lot of misinformation floating around. Make sure you've got the facts—join the @OFA Truth Team:… https://t.co/SpfRFK5LWq
 ,From coast to coast editorial boards are denouncing Senate obstructionism. Take a look: https://t.co/vqDr2bBiVr #DoYourJob
 ,Our Supreme Court has been short a justice for far too long. #DoYourJob Senate leaders. https://t.co/yJlejtHjr0
 ,The need for a ninth justice is undeniably clear. #DoYourJob https://t.co/L1EBgNbh3Q
 ,We can't afford to let this be the new normal. https://t.co/nJzyfz2Zlw #ActOnClimate
 ,Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: https://t.co/JZnvlb080l #ActOnClimate
 ,Climate change is real but so is the progress we're making to #ActOnClimate. Let's keep it up. https://t.co/GOFKXQblGJ
 ,This is just the latest step forward in the push to #ActOnClimate. https://t.co/UDInkidKkP
 ,Read why @FLOTUS is fighting to ensure that girls everywhere have access to quality education. https://t.co/xleq3HHSZt #LetGirlsLearn
 ,Wildfires in the next few decades could be "unrecognizable" to previous generations—because of climate change: https://t.co/vM3xM6mCf3
 ,Senate leaders are blocking the Supreme Court nomination for their own political gain—don't be silent: https://t.co/OMdTVim0TC #DoYourJob
 ,Senate leaders have recognized Judge Garland's impeccable credentials in the past. He deserves a fair hearing and a… https://t.co/w9bPtpSmm7
 ,We need a fully functional Supreme Court. Editorial boards across the country agree: https://t.co/BkLrNaTtzN #DoYourJob
 ,The American Bar Association gave Judge Garland its highest rating. Senate leaders: #DoYourJob and fill the #SCOTUS… https://t.co/iTVTqGIUvV
 ,Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: https://t.co/7MDQGYgX2u #ActOnClimate
 ,Cynics take note: When we #ActOnClimate we build a stronger future. https://t.co/wHHMdo2ro6
 ,"That’s how we will overcome the challenges we face: by unleashing the power of all of us for all of us." Read more: https://t.co/VxpwLIR4uF
 ,Check out the most recent editorial boards calling on Senate leaders to vote on Judge Garland: https://t.co/hzuhZYevfo #DoYourJob
 ,Senate leaders have undercut the functionality of the Supreme Court and that's unacceptable. #DoYourJob https://t.co/5HFXhgTMoP
 ,Senate leaders' political games are handicapping the Supreme Court—and judgeships across the country. https://t.co/PhKOBKXLmS #DoYourJob
 ,LIVE: President Obama is speaking at a reception celebrating #HispanicHeritageMonth. https://t.co/FK0ytbKw1q
 ,Support the bold steps we're taking against climate change. Say you're ready to #ActOnClimate: https://t.co/EtwjaKgYFW
 ,Last week more than 190 countries reached a landmark deal to reduce carbon pollution from aviation. https://t.co/LRYkXVw3rO #ActOnClimate
 ,Let's leave our children and grandchildren a planet that's healthier than the one we have today. #ActOnClimate https://t.co/mP29bpRdU9
 ,Climate change's effects are devastating. Denying the science behind it does nothing to help. https://t.co/Rww40wwgD9 #ActOnClimate
 ,"On behalf of Michelle and our family G’mar Chatimah Tovah." —President Obama #YomKippur
 ,"LGBT individuals deserve to know their country stands beside them." —President Obama #NationalComingOutDay https://t.co/op7nBzbaod
 ,The Supreme Court must remain above politics. Judge Garland needs a hearing and a vote. #DoYourJob https://t.co/eVSPSIFNpB
 ,Don't stand idly by while Senate leaders continue to block Judge Garland from a fair hearing and vote: https://t.co/TSavHP3mHg #DoYourJob
 ,Judge Garland is just as qualified now as he was in 1997 Senate leaders. It's time to #DoYourJob. https://t.co/j1lEkdMYV6
 ,Dispel misinformation with facts from the @OFA Truth Team. https://t.co/zjexLUJXAC
 ,The uninsured rate is the lowest it's been in decades thanks to #Obamacare. Spread the word.… https://t.co/ZkN8HVbn3E
 ,Deadline tonight—help rein in payday lenders that succeed by targeting vulnerable Americans: https://t.co/7OlpH6OFek #StopTheDebtTrap
 ,The Obama administration and @CFPB are working to protect consumers and #StopTheDebtTrap. https://t.co/UMO01OUkdh
 ,Our economy is on a better stronger course. https://t.co/yzB6x7CExJ
 ,The economic progress we've made is undeniable—let's keep it up. https://t.co/gAlfaC1hkI
 ,Check out President Obama's essay in @TheEconomist on the unique challenges the American economy faces. https://t.co/jKJNCrQALL
 ,The economy added 156000 jobs in September—extending the longest streak of total job growth on record.
 ,ICYMI: Read about the historic #ParisAgreement and what it means for the fight to #ActOnClimate. https://t.co/eMefgFZk53
 ,The cost of clean energy technology dropped significantly over the last eight years. Get the chart: https://t.co/fuGQMXeRYb #ActOnClimate
 ,This historic step in the fight to #ActOnClimate came faster than anyone predicted. https://t.co/W2rtcNXkI7
 ,"Today is a historic day in the fight to protect our planet for future generations." —President Obama #ActOnClimate https://t.co/x3dJSCYUcj
 ,LIVE: President Obama is delivering a statement on the Paris Climate Agreement. https://t.co/mNpQ6QyA91
 ,Read from @NYTopinion about why filling the Supreme Court vacancy is crucial for our democracy: https://t.co/zuSWzxSaqW #DoYourJob
 ,Enough is enough. Say it's time for Senate leaders to get to work: https://t.co/2M789YIcBk #DoYourJob
 ,"Everybody cares about their kids their grandkids and the kind of world we pass on to them." —President Obama https://t.co/cfxpSBNWIU
 ,Take what matters with you. https://t.co/E0hXWSu1q3 https://t.co/KJJdkE8DML
 ,We've come a long way but the fight for fairness and an economy that works for everyone continues. https://t.co/WWRhZHwYWE
 ,Side-by-side for 24 years. Here's to many more. #HappyAnniversary https://t.co/nh8Xfc7IWU
 ,Facts matter. Stay informed with the @OFA Truth Team: https://t.co/O8PhOX5jJ3
 ,In the weekly address President Obama discusses why access to paid leave is so important. https://t.co/q9kDEqYs5u #LeadOnLeave
 ,Parents shouldn't have to choose between a paycheck and taking care of a sick child at home. #LeadOnLeave https://t.co/FF4hTkgOZy
 ,After thirty years in Congress Senator this should not be your proudest accomplishment. https://t.co/FwGAJsBCoo… https://t.co/86F1fhUWsp
 ,We need a fully functioning Supreme Court. Speak up if you agree it's time for a hearing and a vote: https://t.co/d6nmum1Ut7 #DoYourJob
 ,There has never been a more qualified nominee Senate leaders. He deserves a fair hearing and a vote. #DoYourJob https://t.co/qtzcY3iwyl
 ,It's the Senate's job to fairly consider Supreme Court nominees. Their refusal to do so is unacceptable: https://t.co/s8FdCa0tq6 #DoYourJob
 ,"Everybody gets sick." Check out what President Obama is doing to extend access to paid sick leave: https://t.co/gOAc2HAkQg #LeadOnLeave
 ,Never underestimate the strength and resilience of the American economy. https://t.co/OFTN2FlRtq
